,Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Los Angeles Lakers*,52,19,0.732,â€”,113.4,107.6,6.28
1,Los Angeles Clippers*,49,23,0.681,3.5,116.3,109.9,6.66
2,Denver Nuggets*,46,27,0.63,7.0,111.3,109.2,2.35
3,Houston Rockets*,44,28,0.611,8.5,117.8,114.8,3.13
4,Oklahoma City Thunder*,44,28,0.611,8.5,110.4,108.4,2.33
5,Utah Jazz*,44,28,0.611,8.5,111.3,108.8,2.52
6,Dallas Mavericks*,43,32,0.573,11.0,117.0,112.1,4.87
7,Portland Trail Blazers*,35,39,0.473,18.5,115.0,116.1,-0.61
8,Memphis Grizzlies,34,39,0.466,19.0,112.6,113.7,-0.91
9,Phoenix Suns,34,39,0.466,19.0,113.6,113.4,0.56
10,San Antonio Spurs,32,39,0.451,20.0,114.1,115.2,-0.65
11,Sacramento Kings,31,41,0.431,21.5,110.1,112.1,-1.59
12,New Orleans Pelicans,30,42,0.417,22.5,115.8,117.1,-0.55
13,Minnesota Timberwolves,19,45,0.297,29.5,113.3,117.5,-4.02
14,Golden State Warriors,15,50,0.231,34.0,106.3,115.0,-8.12
